Madár_id;Felhasználó;Típus;Központ;Gyûrû;Jelentett faj;Jelentett faj latin;Ivar;Dátum
5635975;Példa Juli;Visszafogás;Budapest;N261167   ;Széncinege;Parus major;Hím;2019.02.02
5807593;Példa Juli;Gyûrûzés;Budapest;P105340   ;Kék cinege;Parus caeruleus;Ismeretlen;2019.02.02
5807594;Példa Juli;Gyûrûzés;Budapest;P105341   ;Kék cinege;Parus caeruleus;Ismeretlen;2019.02.02
5807595;Példa Juli;Gyûrûzés;Budapest;P105342   ;Kék cinege;Parus caeruleus;Ismeretlen;2019.02.02
5807596;Példa Juli;Gyûrûzés;Budapest;P105343   ;Kék cinege;Parus caeruleus;Ismeretlen;2019.02.02
5807603;Példa Juli;Gyûrûzés;Budapest;P105345   ;Kék cinege;Parus caeruleus;Ismeretlen;2019.02.02
5721426;Példa Juli;Visszafogás;Budapest;P105280   ;Vörösbegy;Erithacus rubecula;Ismeretlen;2019.02.02
5579540;Példa Juli;Visszafogás;Budapest;N225480   ;Széncinege;Parus major;Tojó;2019.02.03
5834250;Példa Juli;Gyûrûzés;Budapest;W561467   ;Molnárfecske;Delichon urbicum;Ismeretlen;2019.04.27
5834254;Példa Juli;Gyûrûzés;Budapest;P105439   ;Cserregõ nádiposzáta;Acrocephalus scirpaceus;Ismeretlen;2019.04.28
5834255;Példa Juli;Gyûrûzés;Budapest;P105440   ;Cserregõ nádiposzáta;Acrocephalus scirpaceus;Ismeretlen;2019.04.28
5834256;Példa Juli;Gyûrûzés;Budapest;W561469   ;Partifecske;Riparia riparia;Ismeretlen;2019.04.28
5834257;Példa Juli;Gyûrûzés;Budapest;W561470   ;Molnárfecske;Delichon urbicum;Ismeretlen;2019.04.28
5834258;Példa Juli;Gyûrûzés;Budapest;XB13630   ;Nádirigó;Acrocephalus arundinaceus;Ismeretlen;2019.04.28
5834266;Példa Juli;Gyûrûzés;Budapest;P105445   ;Cserregõ nádiposzáta;Acrocephalus scirpaceus;Ismeretlen;2019.04.28
5834267;Példa Juli;Gyûrûzés;Budapest;P105446   ;Foltos nádiposzáta;Acrocephalus schoenobaenus;Ismeretlen;2019.04.28
5834268;Példa Juli;Gyûrûzés;Budapest;P105447   ;Cserregõ nádiposzáta;Acrocephalus scirpaceus;Ismeretlen;2019.04.28
5834269;Példa Juli;Gyûrûzés;Budapest;P105448   ;Cserregõ nádiposzáta;Acrocephalus scirpaceus;Tojó;2019.04.28
5834270;Példa Juli;Gyûrûzés;Budapest;P105449   ;Cserregõ nádiposzáta;Acrocephalus scirpaceus;Ismeretlen;2019.04.28
5834271;Példa Juli;Gyûrûzés;Budapest;P105450   ;Foltos nádiposzáta;Acrocephalus schoenobaenus;Ismeretlen;2019.04.28
5834272;Példa Juli;Gyûrûzés;Budapest;P105451   ;Nádi tücsökmadár;Locustella luscinioides;Ismeretlen;2019.04.28
5628219;Példa Juli;Visszafogás;Budapest;K806223   ;Cserregõ nádiposzáta;Acrocephalus scirpaceus;Ismeretlen;2019.04.28
5576755;Példa Juli;Visszafogás;Budapest;K745693   ;Nádi tücsökmadár;Locustella luscinioides;Ismeretlen;2019.04.28
4878599;Példa Juli;Visszafogás;Budapest;K451721   ;Nádi sármány;Emberiza schoeniclus;Hím;2019.04.28
5685672;Példa Juli;Visszafogás;Budapest;K749209   ;Cserregõ nádiposzáta;Acrocephalus scirpaceus;Ismeretlen;2019.04.28
5848203;Példa Juli;Gyûrûzés;Budapest;P105507   ;Cserregõ nádiposzáta;Acrocephalus scirpaceus;Ismeretlen;2019.06.03
5848204;Példa Juli;Gyûrûzés;Budapest;P105508   ;Cserregõ nádiposzáta;Acrocephalus scirpaceus;Ismeretlen;2019.06.03
5848205;Példa Juli;Gyûrûzés;Budapest;P105509   ;Cserregõ nádiposzáta;Acrocephalus scirpaceus;Ismeretlen;2019.06.03
5848209;Példa Juli;Gyûrûzés;Budapest;P105510   ;Cserregõ nádiposzáta;Acrocephalus scirpaceus;Ismeretlen;2019.06.03
5848301;Példa Juli;Gyûrûzés;Budapest;P105520   ;Fülemülesitke;Acrocephalus melanopogon;Ismeretlen;2019.06.23
5848302;Példa Juli;Gyûrûzés;Budapest;P105521   ;Cserregõ nádiposzáta;Acrocephalus scirpaceus;Ismeretlen;2019.06.23
5848303;Példa Juli;Gyûrûzés;Budapest;P105522   ;Cserregõ nádiposzáta;Acrocephalus scirpaceus;Ismeretlen;2019.06.23
5848304;Példa Juli;Gyûrûzés;Budapest;P105523   ;Fülemülesitke;Acrocephalus melanopogon;Ismeretlen;2019.06.23
5848305;Példa Juli;Gyûrûzés;Budapest;P105524   ;Nádi tücsökmadár;Locustella luscinioides;Ismeretlen;2019.06.23
5848306;Példa Juli;Gyûrûzés;Budapest;P105525   ;Cserregõ nádiposzáta;Acrocephalus scirpaceus;Ismeretlen;2019.06.23
5848309;Példa Juli;Gyûrûzés;Budapest;P105526   ;Fülemülesitke;Acrocephalus melanopogon;Ismeretlen;2019.06.23
5848315;Példa Juli;Gyûrûzés;Budapest;P105527   ;Cserregõ nádiposzáta;Acrocephalus scirpaceus;Ismeretlen;2019.06.23
5848325;Példa Juli;Gyûrûzés;Budapest;P105528   ;Cserregõ nádiposzáta;Acrocephalus scirpaceus;Tojó;2019.06.23
5848356;Példa Juli;Gyûrûzés;Budapest;N261403   ;Széncinege;Parus major;Ismeretlen;2019.06.23
5685647;Példa Juli;Visszafogás;Budapest;K749184   ;Énekes nádiposzáta;Acrocephalus palustris;Ismeretlen;2019.06.03
5576730;Példa Juli;Visszafogás;Budapest;K745607   ;Cserregõ nádiposzáta;Acrocephalus scirpaceus;Ismeretlen;2019.06.22
5848262;Példa Juli;Visszafogás;Budapest;P105515   ;Énekes nádiposzáta;Acrocephalus palustris;Ismeretlen;2019.06.22
5848209;Példa Juli;Visszafogás;Budapest;P105510   ;Cserregõ nádiposzáta;Acrocephalus scirpaceus;Ismeretlen;2019.06.23
5838864;Példa Juli;Visszafogás;Budapest;XB13637   ;Nádirigó;Acrocephalus arundinaceus;Ismeretlen;2019.06.23
5848302;Példa Juli;Visszafogás;Budapest;P105521   ;Cserregõ nádiposzáta;Acrocephalus scirpaceus;Ismeretlen;2019.06.23
5854846;Példa Juli;Gyûrûzés;Budapest;P105689   ;Cserregõ nádiposzáta;Acrocephalus scirpaceus;Ismeretlen;2019.07.13
5854847;Példa Juli;Gyûrûzés;Budapest;P105690   ;Foltos nádiposzáta;Acrocephalus schoenobaenus;Ismeretlen;2019.07.13
5854848;Példa Juli;Gyûrûzés;Budapest;P105691   ;Cserregõ nádiposzáta;Acrocephalus scirpaceus;Ismeretlen;2019.07.13
5854849;Példa Juli;Gyûrûzés;Budapest;P105692   ;Foltos nádiposzáta;Acrocephalus schoenobaenus;Ismeretlen;2019.07.13
5854850;Példa Juli;Gyûrûzés;Budapest;P105693   ;Cserregõ nádiposzáta;Acrocephalus scirpaceus;Ismeretlen;2019.07.13
5854851;Példa Juli;Gyûrûzés;Budapest;P105694   ;Cserregõ nádiposzáta;Acrocephalus scirpaceus;Ismeretlen;2019.07.13
5854852;Példa Juli;Gyûrûzés;Budapest;P105695   ;Foltos nádiposzáta;Acrocephalus schoenobaenus;Ismeretlen;2019.07.13
5854853;Példa Juli;Gyûrûzés;Budapest;P105696   ;Foltos nádiposzáta;Acrocephalus schoenobaenus;Ismeretlen;2019.07.13
5855900;Példa Juli;Gyûrûzés;Budapest;P105697   ;Foltos nádiposzáta;Acrocephalus schoenobaenus;Ismeretlen;2019.07.13
5855901;Példa Juli;Gyûrûzés;Budapest;P105698   ;Foltos nádiposzáta;Acrocephalus schoenobaenus;Ismeretlen;2019.07.13
5855902;Példa Juli;Gyûrûzés;Budapest;P105699   ;Foltos nádiposzáta;Acrocephalus schoenobaenus;Ismeretlen;2019.07.13
